City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,75,CA,1555635600,78,69.44,-133.03,263.15,6.2
Mahebourg,40,MU,1555638543,78,-20.41,57.7,298.15,3.6
Luderitz,1,NA,1555635600,100,-26.65,15.16,281.15,2.1
Antsohihy,9,MG,1555638940,72,-14.88,47.99,299.123,7.1
Talnakh,0,RU,1555635600,75,69.49,88.39,248.15,3
Harrison,90,US,1555638666,82,39.26,-84.82,296.15,3.6
Kendari,11,ID,1555638940,67,-3.99,122.52,303.553,1.8
Fortuna,75,ES,1555638827,87,38.18,-1.13,289.15,0.5
Huarmey,100,PE,1555638850,89,-10.07,-78.15,293.973,5.49
Barrow,78,AR,1555638940,66,-38.31,-60.23,289.163,3.08
Dingle,31,PH,1555638940,40,11,122.67,306.993,4.24
Bredasdorp,69,ZA,1555638402,93,-34.53,20.04,287.04,2.1
Kodiak,75,US,1555638902,27,39.95,-94.76,286.15,6.2
Rubizhne,97,UA,1555638941,59,49.02,38.37,277.063,2.03
Mataura,64,NZ,1555638605,54,-46.19,168.86,292.04,1.34
Butaritari,100,KI,1555638684,78,3.07,172.79,301.183,7.21
Pevek,100,RU,1555638859,95,69.7,170.27,266.623,5.54
Punta Arenas,75,CL,1555638793,81,-53.16,-70.91,280.15,8.2
Flinders,90,AU,1555638906,68,-34.58,150.85,298.15,1.5
